Sentences,Opinion Term,Aspect Category,Aspect Polarity ,opinion term,aspect  category,Aspect polarity,opinion term,aspect category ,Aspect polarity ,opinion term,aspect  category ,aspect polarity ,,,,,,
3rd class services + overcharge pricing Techinican has done the incomplete service for AC. Urban company just fooling and looting the customers. I have called another technician from my locality. He have done the complete service. I will never recommend anyone to take the urban company services... atleast for technical things. Urban clap charges are also 1.5x from market.,done the incomplete service,Service quality,,overcharge pricing,Cost,Negative,,,,,,,,,,,,
"excellent response, good work, fully satisfied",excellent response,Customer care,,good work,Service quality,Positive,,,,,,,,,,,,
Fantastic app with all services in one place.,Fantastic app,App utility,,all services in one place,Company's service,Positive,,,,,,,,,,,,
Urban clap gives professional services.Response from management is very quick and well organized.,gives professional services,Company's service,,quick and well organized,Customer care,Positive,,,,,,,,,,,,
"Very Unprofessional, this is the 2nd time.e I booked service and after the technician was assigned they rescheduled the service as per there convenience. Last week I had booked for bathroom cleaning and the service that I got was very poor. And now since yesterday they are rescheduling the service.. and finally cancelled. They do not have the option to call customer service, they don't have the option to complain. I have paid for membership and I am not getting any service. Will never recommend UC",rescheduled the service,Service schedule,,option to complain,App UI,Negative,,,,,,,,,,,,
My issue is not resolved,issue is not resolved,Service quality,,,,,,,,,,,,,,,,
"A total negligence to customers by company. The only good thing is professional are experts. Bt company doesn't attends customer properly ., they not evn update customer about their bookings.",issue is not resolved,Company's service,,professional are experts,Service quality,Positive,,,,,,,,,,,,
Price is too high. This app only privilege customer can be use...,Price is too high,Cost,,,,,,,,,,,,,,,,
"Worst service ever. The persons who are tagged as professionals are never professional. I had 3 incidents happening in same way, last one being the worst of all.",never professional,Service quality,,,,,,,,,,,,,,,,
Happy with ac service provided,ac service provided,Service quality,,,,,,,,,,,,,,,,
Good technicians and timly service,Good technicians,Service quality,,timly service,Service schedule,Positive,,,,,,,,,,,,
No body help me Regarding my Ac repairing yesterday pay whole amount And today Reschedule for ac check again but no body come at my palace and Say today is Our Technician busy They will come tommorow and My Ac working Properly before they Do the service but After the service now ac is converting in to Heater,Reschedule,Service schedule,,ac is converting in to Heater,Service quality,Negative,,,,,,,,,,,,
GOOD service,GOOD service,Company's service,,,,,,,,,,,,,,,,
"Firstly I gave 5 star, But now things are worsened so an updated review, I had been told that my follow up service will be on 25th March, and the professional is just pushing dates, no help from Urban company as a brand, they are just saying contact professional, and I have already paid the entire amount. This is really not satisfying. I won't recommend anyone to use this app again. Thankyou for your untimely service.",pushing dates,Service schedule,,paid the entire amount,Payment,Negative,,,,,,,,,,,,
"Urban company is not the right app to use for getting services. My personal experience for getting a hair cut services is an example (date 03 may to 04 May, yes I was calling them for 2days). After two days of follow up, I didnt get a professional. Better to use conventional services from local vendors where you have the personal touch. During initial days the app was promising but now I feel compelled to say that Urban company has no zeal it had years ago. They are unconcerned about customers.",unconcerned about customers,Company's service,,right app to use for getting services,App utility,Negative,,,,,,,,,,,,
Horrible experience. Our cleaner did not come in without informing us and when we called her she kept rescheduling.. We called the company to inform them and they just asked us if we want to cancel and refund. No apologising or or an excuse or even an offer of another cleaner,kept rescheduling,Service schedule,,apologising or or an excuse or even an offer,Customer care,Negative,,,,,,,,,,,,
"Worst services, don't ever book from UC they will send a technician he will damage your product and then will ask for more money",damage your product,Service quality,,ask for more money,Service person's attitude                                             ,Negative,,,,,,,,,,,,
awesome work professionally done,work professionally done,Service quality,,,,,,,,,,,,,,,,
"They damaged my AC, which was working fine before servicing. They sent 2nd technician who couldn't repair it and I had to pay for him. I finally got it repaired by LG technician and incurred 2650 rupees, forwarded the receipt to UC, during which we came to know that UC technician leaked the gas as well, his video reading showed 55, whereas LG technician reading showed 5. Ms. Sonam from UC Customer agreed to pay partial refund amount to me but I didn't get refund so far, contacted resolve@ email.",damaged my AC,Service quality,,didn't get refund so far,Payment,Negative,,,,,,,,,,,,
2 stars... Becoz of extremely unprofessional service being provided in name of Disinfection... Big sham.... Work left halfway.... Refund of Rs500(paid 1558 for the job)highly unprofessional afterwork response from backend office of urbanclap/company .... That too in form of urbanclap coupan/voucher or whatever they call it.,Work left halfway,Service quality,,,,,,,,,,,,,,,,
I love every bit of this app coz now we don't have to wait for our desi electricians plumbers to get our work done. But now m shifting to bhubneshwer city n found out u r not providing ur facilities over their. Kindly start up chain in that area that will be highly appreciable,ove every bit of this app,App utility,,,,,,,,,,,,,,,,
I used them for ac installation. While installing their labour leaked the gas. So i went for top up. But after 4 days gas again leaked. Bcoz he didnot repair it properly. Ended up spending around 7000. Now ac not working. Man is out of reach. And company customer care is fraud.,didnot repair it properly.,Service quality,,spending around 7000.,Cost,Negative,customer care is fraud,Customer care,Negative,,,,,,,,,
No one ever shows up on time...or they just never show up and customer service just doesn't answer the phone. What a complete mess.,shows up on time,Company's service,,ustomer service just doesn't answer the phone,Customer care,Negative,,,,,,,,,,,,
Service professionals are mostly untrained.The company should invest in recruiting well trained professionals.,mostly untrained,Service quality,,,,,,,,,,,,,,,,
not good service refrigerator our was not even solved and he took the charge and went off,not even solved,Service quality,,he took the charge and went off,Service person's attitude                                             ,Negative,,,,,,,,,,,,
Best Professional MECHANIC is employed. Prompt in attending to the Call. It is my personal experience,Best Professional MECHANIC,,,Prompt in attending to the Call,Customer care,Positive,,,,,,,,,,,,
My issue with fan repair came up again and the customer care lady is very rude and abruptly hung up on me kindly help me resolve the issue.,abruptly hung up,Customer care,,issue with fan repair came up again,Service quality,Negative,,,,,,,,,,,,
Grt experience fr ac service Dn on time and very good work Ã°Å¸â€˜Â thanks,very good work,Service quality,,on time,Service schedule,Positive,,,,,,,,,,,,
"Worst company,staff is irresponsible and cheap!!! Fraud staff,unfair practices involved pertaining to money.taking service from urbanclap is a only waste of money.",unfair practices involved pertaining to money,Service quality,,irresponsible and cheap,Service person's attitude                                             ,Negative,,,,,,,,,,,,
